"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 25 20:28:26 GMT 2022","Sun Sep 25 20:28:32 GMT 2022","5909","","Header of the telnyx site","","","","Support center is available to the user",""
"passed","Sun Sep 25 20:27:20 GMT 2022","Sun Sep 25 20:27:39 GMT 2022","18606","","Apply forms of telnyx site","","","","Join the waitlist form from main page",""
"passed","Sun Sep 25 20:28:58 GMT 2022","Sun Sep 25 20:29:11 GMT 2022","13375","","Registration and authorization","","","","Log in with incorrect credentials from main page ",""
"passed","Sun Sep 25 20:28:32 GMT 2022","Sun Sep 25 20:28:39 GMT 2022","7163","","Header of the telnyx site","","","","Get a sim card via wireless in the products list",""
"passed","Sun Sep 25 20:28:18 GMT 2022","Sun Sep 25 20:28:26 GMT 2022","8293","","Header of the telnyx site","","","","Network option is available to the user",""
"passed","Sun Sep 25 20:28:03 GMT 2022","Sun Sep 25 20:28:09 GMT 2022","5827","","Footer of the telnyx site","","","","Search information in the blog section",""
"passed","Sun Sep 25 20:27:39 GMT 2022","Sun Sep 25 20:27:48 GMT 2022","9057","","Apply forms of telnyx site","","","","Talk to an expert form from main page",""
"passed","Sun Sep 25 20:29:11 GMT 2022","Sun Sep 25 20:29:21 GMT 2022","9822","","Registration and authorization","","","","Forgot password from account",""
"passed","Sun Sep 25 20:28:00 GMT 2022","Sun Sep 25 20:28:03 GMT 2022","2963","","Footer of the telnyx site","","","","Social links are visible",""
"passed","Sun Sep 25 20:28:50 GMT 2022","Sun Sep 25 20:28:58 GMT 2022","8055","","Registration and authorization","","","","Sign up with valid credentials from main page",""
